ID_UNAL,LONG,LAT,Factor_C
C-AMA-068,-76.45314228,3.622409148,0.1
C-AMA-085,-76.45108092,3.622058113,0.1
C-AMA-091,-76.43091205,3.608481274,0.1
C-AMA-079,-76.42950137,3.581173453,0.1
C-AMA-110,-76.42632868,3.527632727,0.1
C-AMA-104,-76.42205095,3.639620967,0.1
C-AMA-090,-76.41505223,3.551779753,0.1
C-AMA-088,-76.4030397,3.586507235,0.1
C-AMA-116,-76.39733414,3.618564955,0.3
C-AMA-087,-76.39239737,3.53405735,0.1
C-AMA-084,-76.38505097,3.639856791,0.1
C-AMA-086,-76.37858416,3.626688528,0.1
C-AMA-080,-76.37793171,3.5150526,0.1
C-AMA-105,-76.37472865,3.653722136,0.1
C-AMA-074,-76.36471253,3.519256418,0.1
C-AMA-113,-76.3571109,3.509392133,0.1
C-AMA-112,-76.33896254,3.538892852,0.1
C-AMA-092,-76.33807886,3.528702949,0.1
C-AMA-082,-76.33349782,3.559535193,0.1
C-AMA-111,-76.33325709,3.528698674,0.1
C-AMA-078,-76.33265535,3.568979209,0.1
C-AMA-075,-76.32784188,3.48961365,0.1
C-AMA-064,-76.31060634,3.610875062,0.1
C-AMA-093,-76.30865729,3.616832835,0.1
C-AMA-081,-76.3068727,3.615029134,0.1
C-AMA-101,-76.30644707,3.6157698,0.1
C-AMA-107,-76.29712505,3.647494465,0.1
C-AMA-103,-76.29445843,3.629912879,0.1
C-AMA-106,-76.29332589,3.642307874,0.1
C-AMA-108,-76.29071427,3.565885118,0.1
C-AMA-069,-76.28510842,3.6225576,0.1
C-AMA-077,-76.28263236,3.583099261,0.1
C-AMA-097,-76.27250036,3.59439859,0.1
C-AMA-083,-76.26843181,3.51351445,0.1
C-AMA-076,-76.26262204,3.533060863,0.1
C-AMA-096,-76.24889613,3.607294275,0.1
C-AMA-094,-76.24793722,3.62853458,0.3
C-AMA-109,-76.2471857,3.550171201,0.1
C-AMA-072,-76.2358129,3.51879654,0.001
C-AMA-114,-76.23225628,3.56299345,0.1
C-AMA-099,-76.22781455,3.60883391,0.1
C-AMA-098,-76.22639264,3.575866935,0.1
C-AMA-073,-76.22044544,3.57880644,0.001
C-AMA-060,-76.21888458,3.622874324,0.001
C-AMA-053,-76.21790855,3.571360275,0.001
C-AMA-115,-76.21679129,3.57282374,0.1
C-AMA-052,-76.21477788,3.565939568,0.001
C-AMA-095,-76.21149674,3.613575556,0.1
C-AMA-051,-76.19742892,3.55743467,0.1
C-AMA-048,-76.19672534,3.558947128,0.0
C-AMA-050,-76.19440104,3.559390099,0.001
C-AMA-067,-76.19340366,3.54928707,0.001
C-AMA-047,-76.1926495,3.557924768,0.001
C-AMA-062,-76.19121867,3.558197954,0.5
C-AMA-057,-76.18461676,3.616236057,0.001
C-AMA-058,-76.18310024,3.615356175,0.001
C-AMA-056,-76.18195743,3.61629596,0.001
C-AMA-049,-76.17873793,3.557312745,0.001
C-AMA-117,-76.17472409,3.54129379,0.001
C-AMA-055,-76.17358446,3.609554741,0.001
C-AMA-070,-76.16317084,3.529377781,0.5
C-AMA-065,-76.16277158,3.610283972,0.1
C-AMA-066,-76.16088679,3.530086013,0.001
C-AMA-023,-76.15280879,3.528562977,0.001
C-AMA-054,-76.15235118,3.610186793,0.001
C-AMA-036,-76.15020332,3.538482746,0.1
C-AMA-026,-76.14100619,3.54037982,0.001
C-AMA-061,-76.13504852,3.617598405,0.1
C-AMA-019,-76.13005137,3.58580393,0.001
C-AMA-034,-76.1298899,3.579349537,0.1
C-AMA-024,-76.1291495,3.584032339,0.001
C-AMA-020,-76.12733448,3.583815142,0.001
C-AMA-035,-76.12725829,3.544161793,0.001
C-AMA-027,-76.12577604,3.544744682,0.001
C-AMA-041,-76.12299901,3.613977333,0.1
C-AMA-042,-76.12260257,3.60040952,0.1
C-AMA-028,-76.12252838,3.552111536,0.001
C-AMA-018,-76.12046019,3.598411088,0.001
C-AMA-030,-76.11857431,3.549966174,0.001
C-AMA-040,-76.11575897,3.55459062,0.1
C-AMA-012,-76.11214795,3.554164999,0.001
C-AMA-031,-76.10882938,3.54775267,0.001
C-AMA-063,-76.10818146,3.628696017,0.1
C-AMA-033,-76.10355622,3.543771442,0.1
C-AMA-032,-76.09950608,3.55117928,0.001
C-AMA-025,-76.09840533,3.55584602,0.001
C-AMA-022,-76.09464339,3.560988224,0.001
C-AMA-089,-76.09298802,3.64546329,0.1
C-AMA-021,-76.09241766,3.562548756,0.001
C-AMA-044,-76.09190016,3.65223927,0.3
C-AMA-071,-76.09130928,3.653120541,0.001
C-AMA-029,-76.08387967,3.601538314,0.1
C-AMA-007,-76.0831245,3.600326208,0.001
C-AMA-043,-76.08213376,3.600644474,0.5
C-AMA-013,-76.07931348,3.667759307,0.001
C-AMA-100,-76.07877667,3.73582048,1.0
C-AMA-059,-76.07753195,3.63546692,0.001
C-AMA-010,-76.07682111,3.696688567,0.001
C-AMA-009,-76.07593605,3.721799878,0.001
C-AMA-037,-76.07578704,3.69523857,0.3
C-AMA-015,-76.07433589,3.69046908,0.001
C-AMA-014,-76.0738394,3.685990911,0.001
C-AMA-011,-76.07269849,3.692093574,0.001
C-AMA-008,-76.07240571,3.741490966,0.001
C-AMA-006,-76.07076781,3.747718633,0.001
C-AMA-004,-76.06799075,3.751865354,0.001
C-AMA-005,-76.06753777,3.746826876,0.001
C-AMA-002,-76.06398017,3.65690916,0.0
C-AMA-016,-76.05704032,3.64402114,0.001
C-AMA-038,-76.05470246,3.64390602,0.5
C-AMA-102,-76.0509487,3.67209339,0.1
C-AMA-039,-76.05075175,3.619721046,0.1
C-AMA-017,-76.04992492,3.645989544,0.001
C-AMA-045,-76.03030876,3.691191056,0.1
C-AMA-003,-76.01839554,3.70512098,0.001
C-AMA-046,-76.01584528,3.706188295,0.1
C-AMA-001,-76.01122402,3.718698956,0.001
