fecha,pct_cobertura_dentro_aoi,celdas_aoi,celdas_con_dato
2021-01,100.0,1682934,1682934
2021-02,100.0,1682934,1682934
2021-03,100.0,1682934,1682934
2021-04,100.0,1682934,1682934
2021-05,100.0,1682934,1682934
2021-06,100.0,1682934,1682934
2021-07,100.0,1682934,1682934
2021-08,100.0,1682934,1682934
2021-09,100.0,1682934,1682934
2021-10,100.0,1682934,1682934
2021-11,100.0,1682934,1682934
2021-12,100.0,1682934,1682934
2022-01,100.0,1682934,1682934
2022-02,100.0,1682934,1682934
2022-03,100.0,1682934,1682934
2022-04,100.0,1682934,1682934
2022-05,100.0,1682934,1682934
2022-06,100.0,1682934,1682934
2022-07,100.0,1682934,1682934
2022-08,100.0,1682934,1682934
2022-09,100.0,1682934,1682934
2022-10,100.0,1682934,1682934
2022-11,100.0,1682934,1682934
2022-12,100.0,1682934,1682934
2023-01,100.0,1682934,1682934
2023-02,100.0,1682934,1682934
2023-03,100.0,1682934,1682934
2023-04,100.0,1682934,1682934
2023-05,100.0,1682934,1682934
2023-06,100.0,1682934,1682934
2023-07,100.0,1682934,1682934
2023-08,100.0,1682934,1682934
2023-09,100.0,1682934,1682934
2023-10,100.0,1682934,1682934
2023-11,100.0,1682934,1682934
2023-12,100.0,1682934,1682934
2024-01,100.0,1682934,1682934
2024-02,100.0,1682934,1682934
2024-03,100.0,1682934,1682934
2024-04,100.0,1682934,1682934
2024-05,100.0,1682934,1682934
2024-06,100.0,1682934,1682934
2024-07,100.0,1682934,1682934
2024-08,100.0,1682934,1682934
2024-09,100.0,1682934,1682934
2024-10,100.0,1682934,1682934
2024-11,100.0,1682934,1682934
2024-12,100.0,1682934,1682934
2025-01,100.0,1682934,1682934
2025-02,100.0,1682934,1682934
2025-03,100.0,1682934,1682934
2025-04,100.0,1682934,1682934
2025-05,100.0,1682934,1682934
2025-06,100.0,1682934,1682934
2025-07,100.0,1682934,1682934
2025-08,100.0,1682934,1682934
2025-09,100.0,1682934,1682934
2025-10,100.0,1682934,1682934
2025-11,100.0,1682934,1682934
2025-12,100.0,1682934,1682934
