ID_UNAL,ID_CIAT,ID_AGRO,LONG,LAT,MSNM,en_tesis_dayana
C-AMA-068,S2021-216,LQAS21-010681,-76.45314228,3.622409148,939.0,True
C-AMA-085,S2021-216,LQAS21-010684,-76.45108092,3.622058113,940.6,True
C-AMA-091,S2021-216,LQAS21-010688,-76.43091205,3.608481274,944.7,True
C-AMA-079,S2021-216,LQAS21-010682,-76.42950137,3.581173453,944.3,True
C-AMA-110,S2021-218,LQAS21-010709,-76.42632868,3.527632727,947.3,True
C-AMA-104,S2021-216,LQAS21-010689,-76.42205095,3.639620967,944.6,True
C-AMA-090,S2021-216,LQAS21-010687,-76.41505223,3.551779753,950.6,True
C-AMA-088,S2021-216,LQAS21-010686,-76.4030397,3.586507235,952.7,True
C-AMA-116,S2021-216,LQAS21-010690,-76.39733414,3.618564955,955.6,True
C-AMA-087,S2021-218,LQAS21-010701,-76.39239737,3.53405735,957.1,True
C-AMA-084,S2021-216,LQAS21-010683,-76.38505097,3.639856791,958.5,True
C-AMA-086,S2021-216,LQAS21-010685,-76.37858416,3.626688528,964.5,True
C-AMA-080,S2021-218,LQAS21-010698,-76.37793171,3.5150526,959.7,True
C-AMA-105,S2021-218,LQAS21-010706,-76.37472865,3.653722136,961.7,True
C-AMA-074,S2021-218,LQAS21-010692,-76.36471253,3.519256418,964.0,True
C-AMA-113,S2021-218,LQAS21-010711,-76.3571109,3.509392133,965.7,True
C-AMA-112,S2021-218,LQAS21-010710,-76.33896254,3.538892852,978.1,True
C-AMA-092,S2021-218,LQAS21-010702,-76.33807886,3.528702949,978.2,True
C-AMA-082,S2021-218,LQAS21-010700,-76.33349782,3.559535193,984.5,True
C-AMA-111,S2021-218,LQAS21-010708,-76.33325709,3.528698674,979.1,True
C-AMA-078,S2021-218,LQAS21-010694,-76.33265535,3.568979209,983.9,True
C-AMA-075,S2021-218,LQAS21-010693,-76.32784188,3.48961365,975.2,True
C-AMA-064,S2021-218,LQAS21-010691,-76.31060634,3.610875062,998.7,True
C-AMA-093,S2021-218,LQAS21-010703,-76.30865729,3.616832835,1000.5,True
C-AMA-081,S2021-218,LQAS21-010699,-76.3068727,3.615029134,1000.3,True
C-AMA-101,S2021-218,LQAS21-010704,-76.30644707,3.6157698,1000.6,True
